filename,category,shot_type,character,prompt
shot-single-A,shot_type,Single (1-Shot),A,"Vertical iPhone screenshot of a young Black woman standing alone in her bedroom talking, full body visible head to toe, natural daylight from a window to her left casting soft uneven light, grey hoodie and joggers, braids, slightly off-centre in the frame like she propped her phone against something on a shelf, real messy bedroom behind her with an unmade bed and stuff on the desk, iPhone rear camera quality with slight grain and warm tones, not posed, mid-sentence expression, 9:16 vertical"
shot-two-shot-A,shot_type,Two-Shot,A,"Vertical iPhone screenshot of a young Black woman and another person sitting together on a sofa in a lived-in living room, both visible from the waist up, she is wearing a grey hoodie with braids and talking while the other person listens, natural daylight from a nearby window, warm brown skin, the phone is propped on a coffee table filming them, real room background with cushions and a remote on the sofa, iPhone rear camera quality with slight grain, mid-conversation moment, 9:16 vertical"
shot-group-A,shot_type,Group Shot,A,"Vertical iPhone screenshot of a young Black woman in a grey hoodie with braids standing with two friends in a kitchen, all three visible from knees up, she is in the middle talking and gesturing, natural overhead kitchen light mixing with some daylight, real kitchen background with mugs on the counter and a fridge with magnets, the other two are reacting and laughing, iPhone rear camera quality with slight warmth and grain, casual energy not posed, 9:16 vertical"
shot-close-up-A,shot_type,Close-Up (CU),A,"Vertical iPhone screenshot extreme close-up of a young Black woman's face from forehead to chin filling most of the frame, braids visible at the top, warm brown skin with natural texture visible, she is mid-sentence with an expressive look, natural daylight hitting one side of her face from a window creating soft shadows, slightly out of focus background showing a blurred bedroom, iPhone rear camera quality with that slightly soft warm look, minimal makeup, 9:16 vertical"
shot-extreme-cu-A,shot_type,Extreme Close-Up (ECU),A,"Vertical iPhone screenshot extreme close-up of a young Black woman's hands holding a small product container, fingers with short natural nails, warm brown skin, the product fills most of the frame, soft natural daylight from the side, slightly blurred grey hoodie sleeve visible at the edge, real bedroom desk surface underneath with a couple of items visible, iPhone rear camera macro-style quality with slight grain, 9:16 vertical"
shot-medium-A,shot_type,Medium Shot (MS),A,"Vertical iPhone screenshot of a young Black woman visible from the waist up in her bedroom, grey hoodie and braids, talking directly to camera with one hand slightly raised mid-gesture, natural daylight from a window to her right, behind her a shelf with some books and a plant, unmade bed partially visible, warm brown skin, natural expression like she is explaining something, iPhone rear camera quality with slight grain and warm tones, phone propped at chest height, 9:16 vertical"
shot-medium-cu-A,shot_type,Medium Close-Up (MCU),A,"Vertical iPhone screenshot of a young Black woman from the chest up, grey hoodie visible at the bottom of frame, braids framing her face, talking with a slightly raised eyebrow like she is making a point, natural daylight from a window creating soft light on her face, blurred bedroom background with warm tones, warm brown skin with natural texture, iPhone rear camera quality slightly soft with grain, mid-sentence expression, 9:16 vertical"
shot-wide-A,shot_type,Wide Shot (WS),A,"Vertical iPhone screenshot wide shot of a young Black woman standing in her full bedroom, she is small in the frame with the whole room visible around her, grey hoodie joggers and braids, standing near her bed talking to camera, the room has an unmade bed a desk with stuff on it a window with natural daylight coming in and some clothes on a chair, phone propped far back on a shelf or dresser, iPhone rear camera quality with slight grain, real lived-in room, 9:16 vertical"
shot-extreme-wide-A,shot_type,Extreme Wide Shot (EWS),A,"Vertical iPhone screenshot extreme wide shot of a young Black woman tiny in the frame standing in a doorway of her flat, you can see the hallway and part of the living room, she is wearing grey hoodie and joggers with braids, natural daylight from multiple windows, real flat with coats hanging by the door and shoes on the floor, she is waving or gesturing small, iPhone rear camera quality with slight grain, the environment dominates the frame, 9:16 vertical"
shot-over-shoulder-A,shot_type,Over-the-Shoulder (OTS),A,"Vertical iPhone screenshot over the shoulder of a young Black woman looking at her phone screen which shows a product page, we see the back of her head with braids and grey hoodie shoulder, the phone screen is slightly visible and glowing, she is sitting on her bed in her bedroom, natural daylight from a window, real bedroom background, iPhone rear camera quality with slight grain and warm tones, casual moment like she is browsing, 9:16 vertical"
