filename,category,format_name,character,prompt
format-us-vs-them-A,format,Us Versus Them,A,"Vertical iPhone screenshot of a young Black woman in her bedroom holding up two products side by side with a skeptical raised eyebrow expression, grey hoodie braids warm brown skin, one product held higher than the other suggesting a winner, natural daylight, real bedroom background, iPhone rear camera quality with slight grain, the energy of here is why this one is better, comparison battle vibe, 9:16 vertical"
format-feature-point-out-B,format,Feature Point Out,B,"Vertical iPhone screenshot of a young South Asian man in a black t-shirt pointing directly at a specific detail on a product he is holding close to camera, short dark hair, his finger is touching a specific feature, he has an explaining expression, in his bedroom at his desk, natural daylight, iPhone rear camera quality with slight grain, the energy of see this right here this is the bit that matters, 9:16 vertical"
format-founder-C,format,Founder,C,"Vertical iPhone screenshot of a young white woman early 30s with messy bun in a beige jumper sitting at a desk talking to camera with authority and passion, she looks like she built this thing and believes in it, natural daylight from a window, real home office background with a laptop and some papers, iPhone rear camera quality with slight grain, founder energy earnest and mission-driven, 9:16 vertical"
format-expert-explainer-B,format,Expert Explainer,B,"Vertical iPhone screenshot of a young South Asian man in a black t-shirt explaining something with both hands gesturing like he is breaking down a complex topic, short dark hair, sitting in his living room with bookshelves visible behind him, natural daylight, he has the expression of someone who knows this subject deeply and is making it simple, iPhone rear camera quality with slight grain, teacher energy, 9:16 vertical"
format-post-it-A,format,Post-it,A,"Vertical iPhone screenshot of a young Black woman in her bedroom sticking a colourful post-it note onto a wall or mirror, grey hoodie braids warm brown skin, you can see handwritten text on the post-it though not readable, she is pressing it onto the surface, other post-its are already stuck around it, natural daylight, real bedroom background, iPhone rear camera quality with slight grain, organised chaos energy, 9:16 vertical"
format-before-after-C,format,Before and After,C,"Vertical iPhone screenshot split feel showing a young white woman early 30s with messy bun on the left side looking tired or frustrated and on the right side looking refreshed and happy, beige jumper, the contrast between the two states is clear, natural daylight in her bathroom, real background, iPhone rear camera quality with slight grain, transformation proof energy, 9:16 vertical"
format-native-text-overlay-A,format,Native Text Overlay,A,"Vertical iPhone screenshot of a young Black woman in her bedroom sitting on her bed looking at camera with a knowing expression, grey hoodie braids warm brown skin, the composition has clear space at the top and bottom of frame where text would naturally go in post-production, she is slightly lower in the frame leaving headroom, natural daylight, real bedroom, iPhone rear camera quality with slight grain, designed for text to be added on top, 9:16 vertical"
format-skit-B,format,Skit / Comedy Skit,B,"Vertical iPhone screenshot of a young South Asian man in a black t-shirt in his kitchen making an exaggerated comedic face, short dark hair, he is clearly playing a character or acting out a scenario, maybe holding a product dramatically or mimicking someone, natural kitchen lighting, real kitchen background, iPhone rear camera quality with slight grain, comedy energy absurd and relatable, 9:16 vertical"
format-press-C,format,Press,C,"Vertical iPhone screenshot of a young white woman early 30s with messy bun in a beige jumper holding her phone up showing a headline or article on the screen to the camera, she has an impressed or this is important expression, sitting in her living room, the phone screen is glowing and partially visible, natural daylight, real living room background, iPhone rear camera quality with slight grain, news and credibility energy, 9:16 vertical"
format-testimonial-A,format,Testimonial / Customer Review,A,"Vertical iPhone screenshot of a young Black woman in her bedroom talking directly to camera with sincere honest energy, grey hoodie braids warm brown skin, she has her hand on her chest like she genuinely means what she is saying, the expression is truthful and vulnerable not salesy, natural daylight from a window, real bedroom background, iPhone rear camera quality with slight grain, real customer sharing real experience energy, 9:16 vertical"
