filename,category,visual_action,character,prompt
action-yapping-A,visual_action,Yapping (Talking to Camera),A,"Vertical iPhone screenshot of a young Black woman in her bedroom talking animatedly to camera, grey hoodie braids warm brown skin, both hands up gesturing mid-explanation, mouth open mid-word, eyebrows raised, she is clearly in the flow of making a point about something she cares about, natural daylight from window, real messy bedroom background, iPhone rear camera quality with slight grain, the energy of someone who has been talking for 30 seconds and is getting to the good bit, 9:16 vertical"
action-demo-B,visual_action,Demo (Showing Product Use),B,"Vertical iPhone screenshot of a young South Asian man with short dark hair and a black t-shirt demonstrating a product in his hands in a small flat kitchen, he is mid-action applying or using the product, looking down at his hands concentrating, natural overhead kitchen light mixed with daylight from a small window, real kitchen background with mugs and a kettle, iPhone rear camera quality with slight grain, tutorial energy showing not telling, 9:16 vertical"
action-reaction-C,visual_action,Reaction (Genuine Response),C,"Vertical iPhone screenshot of a young white woman early 30s with a blonde messy bun and oversized beige jumper reacting with genuine surprise in her living room, her hand is over her mouth eyes wide, she just saw or experienced something unexpected with a product, natural daylight from a window, real living room with a sofa and cushions behind her, iPhone rear camera quality with slight grain and warm tones, authentic shock not performed, 9:16 vertical"
action-unboxing-A,visual_action,Unboxing (Opening Product),A,"Vertical iPhone screenshot of a young Black woman sitting on her bed opening a delivery box, grey hoodie braids warm brown skin, her hands are pulling tissue paper out of the box, she is looking down at the contents with anticipation, the box and packaging materials are scattered on the duvet, natural daylight from a window, real bedroom background, iPhone rear camera quality with slight grain, the genuine moment of discovering what is inside, 9:16 vertical"
action-transformation-B,visual_action,Transformation (Before/After Reveal),B,"Vertical iPhone screenshot of a young South Asian man in a black t-shirt showing a result to camera, he is holding something up next to his face with a proud satisfied expression, short dark hair, in his bathroom with a real mirror and toiletries visible behind him, natural bathroom light slightly harsh from above, the energy of showing proof that something worked, iPhone rear camera quality with slight grain, reveal moment, 9:16 vertical"
action-reading-C,visual_action,Reading (Looking at Phone/Screen),C,"Vertical iPhone screenshot of a young white woman early 30s with messy bun and beige jumper sitting on her sofa scrolling her phone, she is looking down at her phone screen with a focused or slightly skeptical expression, natural daylight from a window to her side, real living room with books and a throw blanket on the sofa, filmed from slightly to her side, iPhone rear camera quality with slight grain, the authentic moment of researching something on her phone, 9:16 vertical"
action-walking-A,visual_action,Walking (Movement Through Space),A,"Vertical iPhone screenshot of a young Black woman walking through her kitchen, grey hoodie braids warm brown skin, captured mid-stride with slight motion energy, she is talking to camera while moving, kitchen background with real items on counters, natural light from a kitchen window, slight motion blur suggesting movement, iPhone rear camera quality with grain, the casual energy of someone who talks while they move around their flat, 9:16 vertical"
action-pointing-B,visual_action,Pointing (Directing Attention),B,"Vertical iPhone screenshot of a young South Asian man in a black t-shirt pointing at something off-screen or at a product he is holding up, short dark hair, he is in his bedroom at his desk, his index finger is extended with emphasis, his expression says pay attention to this, natural daylight, real desk with a laptop and headphones visible, iPhone rear camera quality with slight grain, directing the viewer's eye energy, 9:16 vertical"
action-lifestyle-C,visual_action,Lifestyle (Product in Daily Routine),C,"Vertical iPhone screenshot of a young white woman early 30s with messy bun in a beige jumper using a product as part of her morning routine in her bathroom, she is casually applying or using something while looking in the mirror, real bathroom with toothbrush holder and towels visible, natural morning light from a small window, the product use is effortless and integrated into her routine not staged, iPhone rear camera quality with grain, everyday moment, 9:16 vertical"
action-comparison-A,visual_action,Comparison (Holding Up Two Things),A,"Vertical iPhone screenshot of a young Black woman holding up two products one in each hand in her bedroom, grey hoodie braids warm brown skin, she is looking between them with a weighing-up expression, the two products are visible and distinct, natural daylight from a window, real bedroom background, iPhone rear camera quality with slight grain, the genuine moment of comparing two options, decision-making energy, 9:16 vertical"
action-emotional-B,visual_action,Emotional Moment (Vulnerability),B,"Vertical iPhone screenshot of a young South Asian man in a black t-shirt sitting on his bed looking genuinely moved or emotional, short dark hair, he is touching his chest or looking down with a soft vulnerable expression, not crying but clearly affected by something, natural daylight creating soft light on his face, real bedroom background slightly blurred, iPhone rear camera quality with grain, authentic emotional beat, 9:16 vertical"
action-celebration-C,visual_action,Celebration (Excitement/Win),C,"Vertical iPhone screenshot of a young white woman early 30s with messy bun and beige jumper doing a small celebration in her living room, fist pump or excited clap, genuine smile and bright eyes, the energy of finding out something worked or getting a result, natural daylight, real living room background, iPhone rear camera quality with slight grain, spontaneous joy not choreographed, 9:16 vertical"
action-whispering-A,visual_action,Whispering (Conspiratorial/Secret),A,"Vertical iPhone screenshot close-up of a young Black woman leaning towards the camera like she is telling a secret, grey hoodie braids warm brown skin, she is slightly hunched forward with a conspiratorial half-smile, one hand partially covering her mouth, her eyes are bright like she is about to share something good, natural daylight, blurred bedroom background, iPhone rear camera quality with slight grain, the I probably should not be telling you this energy, 9:16 vertical"
action-stillness-B,visual_action,Stillness (Pause/Let It Land),B,"Vertical iPhone screenshot of a young South Asian man in a black t-shirt sitting completely still in his bedroom looking directly at the camera with a calm knowing expression, short dark hair, no movement no gesture just eye contact, natural daylight from a window creating soft shadows on his face, real bedroom background, iPhone rear camera quality with slight grain, the powerful pause after saying something important, silence speaks energy, 9:16 vertical"
